Row.names,dPSI_DMSO_CHX_vs_DMSO_EtOH,dPSI_U1_WT_100_CHX_vs_U1_WT_100_EtOH,dPSI_U1_WT_500_CHX_vs_U1_WT_500_EtOH,dPSI_U1_mut1_100_CHX_vs_U1_mut1_100_EtOH,dPSI_U1_mut1_500_CHX_vs_U1_mut1_500_EtOH,dPSI_U1_mut2_100_CHX_vs_U1_mut2_100_EtOH,dPSI_U1_mut2_500_CHX_vs_U1_mut2_500_EtOH,dPSI_BIO2195127_CHX_vs_BIO2195127_EtOH,dPSI_BIO2197294_CHX_vs_BIO2197294_EtOH,dPSI_Branaplam_CHX_vs_Branaplam_EtOH
CBWD5,-0.372802375159317,-0.373406658482934,-0.333214019647922,-0.371341467057767,-0.271714354291585,-0.379338199860967,-0.343988493222244,-0.325980122971037,-0.360249168814723,-0.343467102552539
CBWD6,-0.251995511349405,NA,NA,NA,NA,-0.267796269349691,NA,NA,-0.261278251503529,NA
CCDC115,NA,NA,-0.253978819476545,NA,NA,NA,NA,NA,NA,NA
CCDC150,NA,NA,NA,NA,NA,NA,NA,NA,-0.275581515837806,-0.369662438718137
CCDC162P,NA,0.292894817967581,0.355157422922354,NA,NA,0.36164194319527,-0.278145625664118,NA,0.298492009736416,0.451791187720773
CCDC173,NA,NA,NA,0.339010485551256,NA,NA,NA,-0.266891606668987,NA,NA
CCDC57,NA,NA,NA,0.299028959258876,NA,NA,NA,NA,NA,NA
CCDC84,0.393468446290346,0.363835144053696,0.366487176721902,-0.29308745681859,0.279066767722275,-0.257202506547138,0.369034437156432,-0.277198942338934,0.410529612335797,0.468850935045589
CCHCR1,NA,NA,NA,NA,NA,NA,NA,NA,0.250649935040474,NA
CCNH,NA,NA,NA,NA,NA,-0.261330845992427,NA,NA,NA,NA
CCNL1,-0.351747766861708,-0.3617358196506,-0.302109393456261,-0.312439332416581,-0.260291606532836,NA,-0.325287983148567,-0.315124377312251,NA,-0.397732766392063
CCNL2,NA,NA,NA,-0.284336639881092,NA,NA,-0.278748256569322,NA,NA,NA
CCNT2,0.274126748869232,0.283647369199778,NA,0.278560103340144,NA,NA,NA,0.308593981444052,0.298821249707661,0.262746574009279
CD207,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.408756510120944
CDADC1,NA,NA,-0.256743018746175,NA,NA,-0.296172369554911,NA,NA,NA,NA
CDAN1,0.286906663280295,NA,0.260695141202363,NA,NA,NA,0.342383156657546,0.350555429042524,NA,0.329323670694371
CDH24,NA,NA,NA,0.276904362144832,NA,NA,NA,NA,NA,NA
CDHR1,NA,NA,NA,0.313119965460972,NA,NA,NA,NA,NA,NA
CDK10,NA,NA,NA,0.264964501087137,NA,NA,NA,NA,NA,NA
